Unnamed: 0,point_key,point_label,is_single_operator,point_tooltip,point_eic_code,control_point_type,tp_map_x,tp_map_y,point_type,commercial_type,import_from_country_key,import_from_country_label,has_virtual_point,virtual_point_key,virtual_point_label,has_data,is_planned,is_interconnection,is_import,infrastructure_key,infrastructure_label,is_cross_border,eu_crossing,is_invalid,is_macro_point,is_cam_relevant,is_pipe_in_pipe,is_cmp_relevant,id,data_set,url,mapped_name,Country,lat,lon,is_operational
387,ITP-00424,Alexandroupolis LNG,1,,?,P_P_INCOUN_IN_LNG,51.55,-67.24,LNG Entry point,Physical,,,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2ITP-00424,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Alexandroupolis,Greece,40.833,25.872,False
455,LNG-00004,OLT LNG / Livorno,0,,21Z000000000275G,O_P_INCOUN_IN_LNG,-29.75,-58.33,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00004,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Toscana,Italy,43.067,10.067,True
457,LNG-00006,Swinoujscie,0,,21Z000000000454G,O_P_INCOUN_IN_LNG,-7.91,10.01,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00006,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Swinoujscie,Poland,53.917,14.25,True
459,LNG-00008,Isle of Grain,0,,21YIG-EC-------X,O_P_INCOUN_IN_LNG_ExtEU,-79.85,-11.39,LNG Entry point ExtEU,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,NONEU,False,,False,False,False,2LNG-00008,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Isle of Grain,United Kingdom,51.45,-0.75,True
460,LNG-00010,Paldiski LNG,0,,?,P_P_INCOUN_IN_LNG,41.92,52.64,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00010,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Paldiski LNG,Estonia,59.367,24.05,False
461,LNG-00012,Barcelona,1,,21Z000000000063V,O_P_INCOUN_IN_LNG,-72.77,-66.56,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00012,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Barcelona,Spain,41.35,2.167,True
462,LNG-00013,Bilbao,0,,21Z0000000001402,O_P_INCOUN_IN_LNG,-99.23,-59.54,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00013,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Bilbao,Spain,43.333,-3.0,True
463,LNG-00014,Agia Triada,1,Revythoussa LNG Terminal is located on Revythoussa island. Agia Triada is the Entry Point in DESFAâ€™s NGTS (Natural Gas Transmission System) and is located on the continent. It communicates with the LNG Terminal with two underwater pipelines.,21Z0000000000422,O_P_INCOUN_IN_LNG,39.16,-73.62,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00014,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Revithoussa entry point,Greece,37.95,23.55,True
464,LNG-00015,Cavarzere (Porto Levante / Adriatic LNG),0,"In the integrated management of the whole gas system, SNAM carries out some activities on the basis of an agreement with ITG (capacity allocation and management, balancing). In this context, data for Cavarzere IP are published by SNAM on behalf of ITG.",21Z000000000142Z,O_P_INCOUN_IN_LNG,-17.41774013,-52.02540398,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00015,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Rovigo LNG,Italy,45.067,12.3,True
465,LNG-00017,Zeebrugge LNG,0,,21Z0000000000082,O_P_INCOUN_IN_LNG,-66.53,-11.5,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00017,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Zeebrugge LNG,Belgium,51.333,3.2,True
466,LNG-00018,Huelva,1,,21Z000000000065R,O_P_INCOUN_IN_LNG,-119.27,-74.87,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00018,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Huelva,Spain,37.2,-6.95,True
467,LNG-00019,Panigaglia,0,,21Z0000000000430,O_P_INCOUN_IN_LNG,-32.21,-56.46,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00019,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Panigaglia,Italy,44.1,9.817,True
468,LNG-00021,Mugardos,0,"Until 04/04/2017 Enagas reported the data at Mugardos on behalf of Reganosa, which is the actual operator at this point",21Z000000000126X,O_P_INCOUN_IN_LNG,-125.42,-59.18,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00021,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,El Ferrol,Spain,43.483,-8.25,True
469,LNG-00022,Cartagena,1,,21Z000000000064T,O_P_INCOUN_IN_LNG,-87.89,-74.19,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00022,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Cartagena,Spain,37.6,-0.983,True
470,LNG-00023,Sagunto,0,,21Z000000000129R,O_P_INCOUN_IN_LNG,-84.02,-69.93,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00023,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Sagunto,Spain,39.667,-0.217,True
471,LNG-00024,Montoir de Bretagne,0,,21Z000000000029V,O_P_INCOUN_IN_LNG,-94.39,-40.65,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00024,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Montoir de Bretagne,France,47.283,-2.117,True
472,LNG-00026,Sines,0,,21Z0000000001313,O_P_INCOUN_IN_LNG,-129.11,-73.3,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00026,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Sines,Portugal,37.95,-8.867,True
473,LNG-00027,Gate Terminal (I),0,,21Z0000000002212,O_P_INCOUN_IN_LNG,-62.14,-6.8,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00027,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Gate Rotterdam,Netherlands,51.95,4.05,True
474,LNG-00029,Fos (Tonkin/Cavaou),0,,21Y---A001A006-X,O_P_INCOUN_IN_LNG,-58.05,-59.18,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00029,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Fos (Tonkin/Cavaou),France,43.367,4.95,True
475,LNG-00030,Klaipeda (LNG),0,,21Z0000000003697,O_P_INCOUN_IN_LNG,27.07,25.36,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00030,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Klaipeda (LNG),Lithuania,55.7,21.15,True
476,LNG-00032,Croatia LNG,0,,21Z000000000510W,O_P_INCOUN_IN_LNG,-8.263811821,-51.56061479,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00032,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,"Hrvatska, KrK",Croatia,45.15,14.567,True
477,LNG-00034,Malta FSRU Offshore Terminal,1,,?,P_P_INCOUN_IN_LNG,-4.35,-74.98,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00034,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Marsaxlokk,Malta,35.833,14.55,True
478,LNG-00038,Tallinn LNG,0,,?,P_P_INCOUN_IN_LNG,46.76,53.41,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00038,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Tallinn LNG,Estonia,59.467,24.75,False
479,LNG-00039,Aegean LNG,0,,?,P_P_INCOUN_IN_LNG,43.9317363,-68.50350617,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00039,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Revithoussa,Greece,37.95,23.55,False
480,LNG-00041,Shannon LNG,0,,?,P_P_INCOUN_IN_LNG,-129.5913804,2.762067488,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00041,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Shannon LNG,Ireland,52.567,-9.5,False
482,LNG-00044,Gothenburg LNG,1,,?,P_P_INCOUN_IN_LNG,-21.75,41.44,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00044,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Gothenburg LNG,Sweden,57.7,11.867,False
483,LNG-00047,Dunkerque LNG,0,,?,O_P_INCOUN_IN_LNG,-72.64,-14.6,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00047,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Dunkerque LNG,Belgium,51.05,2.367,True
484,LNG-00049,Milford Haven,0,,21Y---A001A011-7,O_P_INCOUN_IN_LNG_ExtEU,-110.74,-8.23,LNG Entry point ExtEU,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,NONEU,False,,False,False,False,2LNG-00049,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Milford Haven,United Kingdom,51.7,-5.05,True
485,LNG-00056,Skulte (LV),0,,?,P_P_INCOUN_IN_LNG,43.15,37.23,LNG Entry point,Physical,,,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00056,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Riga,Latvia,56.95,24.1,False
486,LNG-00057,FSRU Polish Baltic Sea Coast,0,,?,P_P_INCOUN_IN_LNG,15.73,13.37,LNG Entry point,Physical,,,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00057,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Swinoujscie,Poland,53.917,14.25,True
487,LNG-00058,Cork LNG (IE),0,,?,P_P_INCOUN_IN_LNG,-126.83,-7.62,LNG Entry point,Physical,LNG,LNG,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00058,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Cork LNG,Ireland,51.883,-8.3,False
488,LNG-00059,Sardinia LNG,0,"The SRG ""Sardina Methanization"" project allows to match Sardinia Demand with gas supply from different location. This request is general and isn't related to a specific LNG project.",?,O_P_INCOUN_IN_LNG,0.0,0.0,LNG Entry point,Physical,,,False,,,False,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00059,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Sardinia LNG,Italy,39.15,9.1,True
489,LNG-00060,BRUNSBUETTEL HAFEN (FSRU) (DE),0,,37Z000000008198A,O_P_INCOUN_IN_LNG,-35.86,9.98,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,True,False,False,2LNG-00060,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,BRUNSBUETTEL HAFEN (FSRU),Germany,53.85,9.117,False
490,LNG-00064,Terminal 2 Vassiliko - Lemesos Port,1,,?,P_P_INCOUN_IN_LNG,0.0,0.0,LNG Entry point,Physical,,,False,,,False,True,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00064,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Limassol,Greece,34.667,33.033,False
736,LNG-00068,Eems Energy Terminal,0,,52Z0000000001437,O_P_INCOUN_IN_LNG,-48.87,6.1,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00068,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Eemshaven,Netherlands,53.45,6.85,True
741,LNG-00011,Hamina LNG,1,,21Z000000000529B,O_P_INCOUN_IN_LNG,57.3,59.45,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00011,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Hamina LNG,Finland,60.567,27.183,True
742,LNG-00072,Inkoo LNG (FI),1,,?,O_P_INCOUN_IN_LNG,41.0,56.0,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00072,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Inkoo LNG (FI),Finland,60.017,24.017,True
743,LNG-00066,"Wilhelmshaven, LNG-Terminal 1 (DE)",0,,21Z000000000532M,O_P_INCOUN_IN_LNG,-41.57,8.29,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00066,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,"Wilhelmshaven, LNG-Terminal 1",Germany,53.517,8.117,True
745,LNG-00075,Baltic Energy Gate (Port) (DE),0,"Several TSOs cooperate, capacity is only offered by NEL GT",?,O_P_INCOUN_IN_LNG,-11.6,11.44,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00075,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Lubmin FRSU,Germany,54.117,13.75,False
753,LNG-00069,FSRU ITALIA_PIOMBINO TERMINAL,0,,59ZPIOMBINO11112,O_P_INCOUN_IN_LNG,-27.0,-60.0,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00069,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Toscana,Italy,43.067,10.067,False
754,LNG-00071,Le Havre (FR),0,FSRU,63Z756767365899Y,O_P_INCOUN_IN_LNG,-82.88,-26.19,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00071,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Le Havre,France,49.483,0.00011700000000000001,False
755,LNG-00016,Musel,1,,21Z0000000002123,O_P_INCOUN_IN_LNG,-113.0,-58.65,LNG Entry point,Physical,LNG,LNG,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00016,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,Musel,Spain,43.55,-5.95,True
763,LNG-00078,STADE HAFEN (FSRU) - LNG,1,,37Z0000000088623,O_P_INCOUN_IN_LNG,53.62791793,9.526447132,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,True,False,False,2LNG-00078,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,STADE HAFEN (FSRU),Germany,53.6,9.467,False
766,LNG-00080,"Wilhelmshaven, LNG-Terminal 2",1,,21Z000000000542J,O_P_INCOUN_IN_LNG,-41.31,9.13,LNG Entry point,Physical,,,False,,,True,False,True,False,LNG,LNG Entry,False,EU,False,,False,False,False,2LNG-00080,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT,"Wilhelmshaven, LNG-Terminal 2",Germany,53.517,8.117,True
